,name,address,description
0,KFC,"пр. Энергетиков, 8, гипермаркет «Гигант», Новосибирск","Ресторан с названием 'KFC' по адресу пр. Энергетиков, 8, гипермаркет «Гигант», Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 9.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-350671/"
1,KFC,"Кутателадзе, 4/4, 3 этаж, Новосибирск","Ресторан с названием 'KFC' по адресу Кутателадзе, 4/4, 3 этаж, Академгородок, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 10.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-350672/"
2,KFC,"Троллейная, 130б, Новосибирск","Ресторан с названием 'KFC' по адресу Троллейная, 130б, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 8.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-375385/"
3,KFC,"Курчатова, 1, ТРК «Голден-парк», Новосибирск","Ресторан с названием 'KFC' по адресу Курчатова, 1, ТРК «Голден-парк», Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 10.00–22.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-407583/"
4,KFC,"Бердское ш., 277, ТЦ «Гигант», Новосибирск","Ресторан с названием 'KFC' по адресу Бердское ш., 277, ТЦ «Гигант», Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 9.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-411006/"
5,KFC,"просп. Дзержинского, 2, ТЦ «Холидей Family», Новосибирск","Ресторан с названием 'KFC' по адресу просп. Дзержинского, 2, ТЦ «Холидей Family», Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 8.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-457967/"
6,KFC,"Челюскинцев, 52, Новосибирск","Ресторан с названием 'KFC' по адресу Челюскинцев, 52, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 9.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-457968/"
7,KFC,"пр. Энергетиков, 9, Новосибирск","Ресторан с названием 'KFC' по адресу пр. Энергетиков, 9, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 10.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-480904/"
8,KFC,"Сибиряков-Гвардейцев, 62, Новосибирск","Ресторан с названием 'KFC' по адресу Сибиряков-Гвардейцев, 62, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 9.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-482771/"
9,KFC,"Военная, 7/1, Новосибирск","Ресторан с названием 'KFC' по адресу Военная, 7/1, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 8.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-486564/"
