,name,address,description
0,Sunrise,"​Ленина, 27, Бердск, Новосибирская область","Ресторан с названием 'Sunrise' по адресу ​Ленина, 27, Бердск с рейтингом 4 из 5 и средним чеком 700 рублей. У 'Sunrise' в меню представлены блюда разных кухонь, включая азиатскую, итальянскую, грузинскую и другие. График работы: вс-чт 12.00-22.00, пт-сб 12.00-24.00. Сайт: https://vk.com/sunrise.cafe"
1,Времена года,"Зелёная Роща, 10/1, Бердск, Новосибирская область","Ресторан с названием 'Времена года' по адресу Зелёная Роща, 10/1, Бердск с рейтингом 4 из 5 и средним чеком 1500 рублей. 'Времена года' специализируется на русской, европейской и авторской кухне. Хорошее место для проведения банкетов с живой музыкой и танцполов. График работы: пн-чт 11.00-23.00, пт-сб 13.00-02.00, вс 12.00-24.00. Сайт: r-vremenagoda.ru"
2, Вкусно - и точка,"ул. Максима Горького 2/1, Бердск, Новосибирская область","Автокафе 'Вкусно - и точка' по адресу ул. Максима Горького, 2/1, Бердск с рейтингом 2.7 из 5 и средним чеком 350 рублей. 'Вкусно - и точка' специализируется на фастфуде и заказах на вынос. График работы: пн-вс 06:00-05:00. Сайт: vkusnoitochka.ru"
3, Додо Пицца,"​Первомайская, 121а, Бердск, Новосибирская область","Сеть пиццерий 'Додо Пицца' по адресу ул. ​Первомайская, 121а, Бердск с рейтингом 3.7 из 5 и средним чеком до 700 рублей. 'Додо Пицца' специализируется на итальянской кухне, особенно на пиццах. График работы: пн-вс 09:00-23:00. Сайт: app.dodopizza.ru"
4,Гриль №1,"​Первомайская, 18 ст1, Бердск, Новосибирская область","Ресторан быстрого питания 'Гриль №1' по адресу ​Первомайская, 18 ст1, Бердск с рейтингом 3.9 из 5 и средним чеком 350 рублей. 'Гриль №1' специализируется на шавермах, пицце и лапше wok. График работы: круглосуточно. Есть филиал в Искитиме. Сайт: grill1.org" 
5,Пицца Синица,"​Ленина, 56, Бердск, Новосибирская область","Сеть пиццерий 'Пицца Синица' по адресу ​Ленина, 56, Бердск с рейтингом 4.2 из 5 и средним чеком 350 рублей. 'Пицца Синица' специализируется на итальянской кухне: пицца, пончики, крылышки, наггетсы. График работы: пн-вс 11:00-23:00" 
6,Rostic`s,"​Ленина, 90, Бердск, Новосибирская область","Ресторан быстрого обслуживания 'Rostic`s' по адресу ​Ленина, 90, Бердск с рейтингом 2.1 из 5 и средним чеком 350 рублей. 'Rostic`s' специализируется на фастфуде и бургерах. График работы: пн-вс 09:00-24:00" 
7,Вилка Ложка,"​Ленина, 29, Бердск, Новосибирская область","Фермерское кафе 'Вилка Ложка' по адресу ​Ленина, 29, Бердск с рейтингом 4 из 5 и средним чеком 350 рублей. 'Вилка Ложка' специализируется на домашней еде из деревенских продуктов. График работы: пн-вс 09:00-21:00" 
8,Грильница,"​Вокзальная, 25, Бердск, Новосибирская область","Сеть ресторанов вкусной еды 'Грильница' по адресу ​Вокзальная, 25, Бердск с рейтингом 3.7 из 5 и средним чеком 400 рублей. 'Грильница' специализируется на шавермах, пицце и лапше wok. График работы: пн-вс 10:00-23:00" 
9,Кенгуру,"​Комсомольская, 1/1, Бердск, Новосибирская область","Кафе и служба доставки еды 'Кенгуру' по адресу ​Комсомольская, 1/1, Бердск с рейтингом 4 из 5 и средним чеком 500 рублей. 'Кенгуру' специализируется на суши, шаурме, пицце, wok. График работы: пн-вс 11:00-22:00" 
