,Unnamed: 0,name,address,description,longitude,latitude
0,0,KFC,"пр. Энергетиков, 8, гипермаркет «Гигант», Новосибирск","Ресторан с названием 'KFC' по адресу пр. Энергетиков, 8, гипермаркет «Гигант», Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 9.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-350671/",82.874364,55.011299
1,1,KFC,"Кутателадзе, 4/4, 3 этаж, Новосибирск","Ресторан с названием 'KFC' по адресу Кутателадзе, 4/4, 3 этаж, Академгородок, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 10.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-350672/",83.105015,54.86015
2,2,KFC,"Троллейная, 130б, Новосибирск","Ресторан с названием 'KFC' по адресу Троллейная, 130б, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 8.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-375385/",82.853002,54.964701
3,3,KFC,"Курчатова, 1, ТРК «Голден-парк», Новосибирск","Ресторан с названием 'KFC' по адресу Курчатова, 1, ТРК «Голден-парк», Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 10.00–22.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-407583/",82.960692,55.104311
4,4,KFC,"Бердское ш., 277, ТЦ «Гигант», Новосибирск","Ресторан с названием 'KFC' по адресу Бердское ш., 277, ТЦ «Гигант», Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 9.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-411006/",83.063729,54.84769
5,5,KFC,"просп. Дзержинского, 2, ТЦ «Холидей Family», Новосибирск","Ресторан с названием 'KFC' по адресу просп. Дзержинского, 2, ТЦ «Холидей Family», Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 8.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-457967/",82.957791,55.046744
6,6,KFC,"Челюскинцев, 52, Новосибирск","Ресторан с названием 'KFC' по адресу Челюскинцев, 52, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 9.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-457968/",82.912381,55.041307
7,7,KFC,"пр. Энергетиков, 9, Новосибирск","Ресторан с названием 'KFC' по адресу пр. Энергетиков, 9, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 10.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-480904/",82.877427,55.009099
8,8,KFC,"Сибиряков-Гвардейцев, 62, Новосибирск","Ресторан с названием 'KFC' по адресу Сибиряков-Гвардейцев, 62, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 9.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-482771/",82.896418,54.939253
9,9,KFC,"Военная, 7/1, Новосибирск","Ресторан с названием 'KFC' по адресу Военная, 7/1, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 8.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-486564/",82.938549,55.027175
10,10,KFC,"Станиславского, 40/1, Новосибирск","Ресторан с названием 'KFC' по адресу Станиславского, 40/1, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 9.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-486565/",82.872774,54.968902
11,11,KFC,"​Большевистская, 12/1, Новосибирск","Ресторан с названием 'KFC' по адресу ​Большевистская, 12/1, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 9.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-489423/",82.935881,55.008149
12,12,KFC,"​пл. Карла Маркса, 1, ГУМ, Новосибирск","Ресторан с названием 'KFC' по адресу ​пл. Карла Маркса, 1, ГУМ, Новосибирск со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: пн-вс 8.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-489426/",82.897451,54.981376
13,13,Kids Time,"пл. Райсовета, 8, Новосибирск","Ресторан с названием 'Kids Time' по адресу пл. Райсовета, 8, Новосибирск со средним чеком До 700 рублей. 'Kids Time' специализируется на Европейская кухня. График работы: пн-вс 10.00–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kids-time-486540/",82.876691,54.993226
14,14,King,"Кропоткина, 271, БЦ «На Кропоткина», цокольный этаж, Новосибирск","Ресторан с названием 'King' по адресу Кропоткина, 271, БЦ «На Кропоткина», цокольный этаж, Новосибирск со средним чеком необходимо уточнить. 'King' специализируется на Паровые коктейли. График работы: пн-чт 12.00–2.00, пт 12.00–4.00, сб 14.00–4.00, вс 14.00–2.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/king-270415/",82.936689,55.057724
15,15,Kook,"Державина, 1, Новосибирск","Кофейня с названием 'Kook' по адресу Державина, 1, Новосибирск со средним чеком До 700 рублей. 'Kook' специализируется на Бургеры, Европейская кухня. График работы: пн-вс 8.30–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kook-313420/",82.915264,55.038336
16,16,Kraft Xleb,"Балтийская, 25, Новосибирск","Кофейня с названием 'Kraft Xleb' по адресу Балтийская, 25, Новосибирск со средним чеком необходимо уточнить. 'Kraft Xleb' специализируется на Неизвестно. График работы: пн-вс 8.00–21.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kraft-xleb-442770/",83.049607,54.854781
17,17,Kristina,"Большевистская, 131, Новосибирск","Кофейня с названием 'Kristina' по адресу Большевистская, 131, Новосибирск со средним чеком необходимо уточнить. 'Kristina' специализируется на Неизвестно. График работы: пн-пт 8.00–17.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kristina-480915/",82.959866,54.999402
18,18,Kukuruzza,"Николаева, 12/2, Новосибирск","Ресторан с названием 'Kukuruzza' по адресу Николаева, 12/2, Академгородок, Новосибирск со средним чеком До 700 рублей. 'Kukuruzza' специализируется на Русская кухня. График работы: пн-пт 8.30–16.30. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kukuruzza-74116/",83.112364,54.857849
19,19,Kukuruzza,"Инженерная, 20, Новосибирск","Ресторан с названием 'Kukuruzza' по адресу Инженерная, 20, Новосибирск со средним чеком До 700 рублей. 'Kukuruzza' специализируется на Русская кухня. График работы: пн-пт 9.00–16.30. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kukuruzza-259256/",83.112202,54.854035
